piDC,PIC,y_gap,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3
6.5651e-05,4.3437e-05,0.00012298,-4.7558e-05,-5.7296e-05,7.5439e-05,0,-5.7013e-05,0.0028222,0.0011771,6.98e-05,0.0002879,0.0011208,0.0008861,0.001145,-0.00058957
5.6861e-05,3.7162e-05,0.00010836,-4.4531e-05,-5.3717e-05,6.5662e-05,0,-5.4345e-05,0.0026901,0.0010954,5.1404e-05,0.00027141,0.0010243,0.00082433,0.0010655,-0.00048908
4.9103e-05,3.1654e-05,9.5349e-05,-4.1646e-05,-5.0283e-05,5.7011e-05,0,-5.1706e-05,0.0025594,0.001019,3.5735e-05,0.0002556,0.00093616,0.00076655,0.00099102,-0.00040183
4.2269e-05,2.683e-05,8.3785e-05,-3.891e-05,-4.7013e-05,4.9371e-05,0,-4.911e-05,0.0024309,0.00094768,2.2454e-05,0.00024047,0.00085571,0.00071258,0.00092139,-0.00032628
3.6261e-05,2.2613e-05,7.352e-05,-3.6325e-05,-4.3912e-05,4.2637e-05,0,-4.6571e-05,0.0023053,0.00088107,1.126e-05,0.00022603,0.00078226,0.00066219,0.00085635,-0.00026103
3.0988e-05,1.8936e-05,6.442e-05,-3.3889e-05,-4.0984e-05,3.6709e-05,0,-4.4099e-05,0.0021829,0.0008189,1.8864e-06,0.00021227,0.0007152,0.00061517,0.00079565,-0.00020485
2.6367e-05,1.5735e-05,5.636e-05,-3.1598e-05,-3.8225e-05,3.1501e-05,0,-4.1703e-05,0.0020643,0.0007609,-5.9026e-06,0.00019919,0.00065396,0.00057134,0.00073904,-0.00015664
2.2326e-05,1.2956e-05,4.9229e-05,-2.9447e-05,-3.5632e-05,2.6931e-05,0,-3.9387e-05,0.0019497,0.00070682,-1.2316e-05,0.00018678,0.00059803,0.00053049,0.00068626,-0.00011543
1.8798e-05,1.0548e-05,4.2925e-05,-2.743e-05,-3.3198e-05,2.2928e-05,0,-3.7157e-05,0.0018393,0.00065642,-1.7537e-05,0.00017502,0.00054695,0.00049244,0.00063709,-8.0341e-05
1.5723e-05,8.4685e-06,3.7359e-05,-2.554e-05,-3.0916e-05,1.9426e-05,0,-3.5016e-05,0.0017333,0.00060946,-2.1729e-05,0.00016389,0.00050029,0.00045701,0.0005913,-5.0612e-05
1.3049e-05,6.6769e-06,3.2449e-05,-2.3771e-05,-2.878e-05,1.637e-05,0,-3.2965e-05,0.0016318,0.00056573,-2.5035e-05,0.00015337,0.00045766,0.00042403,0.00054868,-2.556e-05
1.0729e-05,5.1387e-06,2.8121e-05,-2.2117e-05,-2.6781e-05,1.3706e-05,0,-3.1005e-05,0.0015347,0.00052501,-2.7578e-05,0.00014344,0.00041871,0.00039335,0.00050902,-4.586e-06
8.7205e-06,3.8226e-06,2.431e-05,-2.0571e-05,-2.4912e-05,1.1388e-05,0,-2.9135e-05,0.0014422,0.00048712,-2.9471e-05,0.00013408,0.00038312,0.00036481,0.00047212,1.2842e-05
6.9862e-06,2.7011e-06,2.0959e-05,-1.9127e-05,-2.3166e-05,9.3772e-06,0,-2.7356e-05,0.0013541,0.00045187,-3.0808e-05,0.00012526,0.00035059,0.00033828,0.00043781,2.7193e-05
5.4931e-06,1.7499e-06,1.8015e-05,-1.7779e-05,-2.1535e-05,7.6357e-06,0,-2.5665e-05,0.0012704,0.00041908,-3.1674e-05,0.00011696,0.00032086,0.00031362,0.00040591,3.8878e-05
4.2117e-06,9.4742e-07,1.5432e-05,-1.6521e-05,-2.0014e-05,6.1314e-06,0,-2.4062e-05,0.001191,0.0003886,-3.2143e-05,0.00010916,0.00029369,0.0002907,0.00037627,4.8261e-05
3.1161e-06,2.7452e-07,1.3169e-05,-1.5348e-05,-1.8594e-05,4.8358e-06,0,-2.2542e-05,0.0011158,0.00036026,-3.2279e-05,0.00010183,0.00026884,0.0002694,0.00034873,5.5662e-05
2.1831e-06,-2.856e-07,1.1189e-05,-1.4255e-05,-1.7271e-05,3.7235e-06,0,-2.1105e-05,0.0010447,0.00033393,-3.2137e-05,9.4956e-05,0.00024613,0.00024963,0.00032315,6.136e-05
1.3922e-06,-7.478e-07,9.4588e-06,-1.3236e-05,-1.6038e-05,2.7718e-06,0,-1.9747e-05,0.0009775,0.00030947,-3.1767e-05,8.8506e-05,0.00022535,0.00023127,0.0002994,6.5602e-05
