piDC,PIC,y_gap,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3
3.7998e-05,4.6424e-05,0.00019852,0.00019853,6.3806e-05,3.5164e-05,-0.00043559,2.5839e-05,0.00049891,-0.00042839,2.1709e-05,5.3681e-05,0.00022417,-0.0025286,-0.00089156,-0.00058155
3.5792e-05,4.3318e-05,0.00018036,0.00017972,5.8411e-05,3.3289e-05,-0.00040003,2.4099e-05,0.00047801,-0.00039051,1.7868e-05,5.1083e-05,0.00020588,-0.0022793,-0.00080505,-0.0005306
3.35e-05,4.0231e-05,0.00016369,0.00016259,5.3353e-05,3.1288e-05,-0.00036661,2.2339e-05,0.00045693,-0.00035486,1.4496e-05,4.8493e-05,0.000189,-0.0020537,-0.00072603,-0.00048272
3.1186e-05,3.7212e-05,0.00014843,0.000147,4.8634e-05,2.9228e-05,-0.00033535,2.0595e-05,0.00043586,-0.00032153,1.1546e-05,4.5936e-05,0.00017343,-0.0018498,-0.000654,-0.00043799
2.8895e-05,3.4297e-05,0.00013448,0.00013283,4.4251e-05,2.716e-05,-0.00030625,1.8897e-05,0.00041496,-0.00029053,8.9768e-06,4.343e-05,0.00015909,-0.0016655,-0.00058846,-0.00039643
2.6661e-05,3.151e-05,0.00012174,0.00011996,4.0196e-05,2.5123e-05,-0.00027924,1.7265e-05,0.00039437,-0.00026185,6.748e-06,4.099e-05,0.00014589,-0.0014991,-0.00052892,-0.00035798
2.4511e-05,2.8867e-05,0.00011013,0.00010829,3.6456e-05,2.3145e-05,-0.00025426,1.5712e-05,0.0003742,-0.00023544,4.8236e-06,3.8628e-05,0.00013375,-0.0013489,-0.00047493,-0.00032256
2.246e-05,2.6378e-05,9.9563e-05,9.7707e-05,3.3017e-05,2.1246e-05,-0.00023122,1.4247e-05,0.00035453,-0.00021119,3.1705e-06,3.6352e-05,0.00012259,-0.0012134,-0.00042603,-0.00029005
2.0521e-05,2.4048e-05,8.9949e-05,8.8121e-05,2.9863e-05,1.9441e-05,-0.00021003,1.2877e-05,0.00033543,-0.00018902,1.7587e-06,3.4166e-05,0.00011234,-0.0010911,-0.0003818,-0.0002603
1.8699e-05,2.1877e-05,8.1216e-05,7.9443e-05,2.6976e-05,1.7737e-05,-0.00019057,1.1601e-05,0.00031696,-0.00016881,5.6049e-07,3.2075e-05,0.00010293,-0.0009809,-0.00034184,-0.00023315
1.6997e-05,1.9863e-05,7.3291e-05,7.1592e-05,2.434e-05,1.6139e-05,-0.00017275,1.0421e-05,0.00029915,-0.00015043,-4.4885e-07,3.0081e-05,9.4288e-05,-0.00088159,-0.00030579,-0.00020845
1.5415e-05,1.8002e-05,6.6104e-05,6.4493e-05,2.1938e-05,1.465e-05,-0.00015645,9.3339e-06,0.00028202,-0.00013377,-1.2918e-06,2.8184e-05,8.6363e-05,-0.00079212,-0.0002733,-0.00018603
1.3951e-05,1.6289e-05,5.9593e-05,5.8079e-05,1.9752e-05,1.3268e-05,-0.00014157,8.3373e-06,0.00026561,-0.00011871,-1.9887e-06,2.6383e-05,7.9096e-05,-0.00071155,-0.00024405,-0.00016573
1.2602e-05,1.4715e-05,5.3699e-05,5.2286e-05,1.7767e-05,1.1991e-05,-0.000128,7.4267e-06,0.00024991,-0.00010511,-2.5575e-06,2.4677e-05,7.2433e-05,-0.00063902,-0.00021773,-0.00014738
1.1362e-05,1.3274e-05,4.8367e-05,4.7056e-05,1.5966e-05,1.0816e-05,-0.00011565,6.5979e-06,0.00023492,-9.287e-05,-3.0148e-06,2.3064e-05,6.6327e-05,-0.00057374,-0.00019409,-0.00013083
1.0227e-05,1.1958e-05,4.3546e-05,4.2337e-05,1.4334e-05,9.738e-06,-0.00010442,5.8457e-06,0.00022065,-8.1871e-05,-3.3749e-06,2.1542e-05,6.0732e-05,-0.00051501,-0.00017286,-0.00011592
9.1892e-06,1.0758e-05,3.919e-05,3.808e-05,1.2858e-05,8.7516e-06,-9.4218e-05,5.1651e-06,0.00020708,-7.2006e-05,-3.6509e-06,2.0108e-05,5.5607e-05,-0.00046219,-0.00015381,-0.00010253
8.244e-06,9.666e-06,3.5257e-05,3.4242e-05,1.1524e-05,7.8518e-06,-8.4963e-05,4.551e-06,0.0001942,-6.3177e-05,-3.8544e-06,1.8758e-05,5.0913e-05,-0.00041468,-0.00013674,-9.0514e-05
7.3847e-06,8.6746e-06,3.1707e-05,3.0783e-05,1.032e-05,7.0329e-06,-7.6574e-05,3.9984e-06,0.00018199,-5.5289e-05,-3.9955e-06,1.7489e-05,4.6614e-05,-0.00037198,-0.00012146,-7.9751e-05
6.6051e-06,7.7758e-06,2.8505e-05,2.7666e-05,9.2347e-06,6.2894e-06,-6.8976e-05,3.5023e-06,0.00017043,-4.8255e-05,-4.0834e-06,1.6297e-05,4.2678e-05,-0.0003336,-0.00010778,-7.0126e-05
5.8991e-06,6.9622e-06,2.5617e-05,2.4859e-05,8.2566e-06,5.6156e-06,-6.21e-05,3.058e-06,0.00015951,-4.1994e-05,-4.1262e-06,1.518e-05,3.9075e-05,-0.00029911,-9.5552e-05,-6.1532e-05
5.261e-06,6.2268e-06,2.3015e-05,2.2332e-05,7.3763e-06,5.0063e-06,-5.5882e-05,2.661e-06,0.0001492,-3.6431e-05,-4.1307e-06,1.4132e-05,3.5776e-05,-0.00026814,-8.4627e-05,-5.3871e-05
