kappa,rho,regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.750000,0.000000,peg,0.0001112665626,  0.00010989386, 0.001253776048,3.423828875e-07,4.046618746e-05,0.0009267604547, 0.002196744902,0.0001963657593,  0.00010766178,0.0002355677253,   0.0229174179
0.750000,0.000000,managed,2.140288565e-05,1.857421016e-05,6.358825483e-05,4.945555622e-08,1.135104972e-05,4.627554271e-05,0.0001640842709,4.104327451e-05,2.585459833e-05,6.182321966e-05,  0.02266230096
0.750000,1.000000,float,0.0001473034646,0.0001576343984,  0.00014125185,8.535938728e-07,2.753977934e-05,6.228325308e-05,0.0002576422228,0.0001748859775,0.0001503637392,0.0002275053571,  0.02329093181
0.750000,1.000000,peg,9.548369492e-05,8.742379975e-05,  0.00228900745,1.589662025e-06,0.0001516313535, 0.001236864902,0.0009663299554,0.0001288064733,9.676378246e-05,0.0002345376556,  0.02386779249
0.750000,1.000000,managed,2.629030109e-05,2.530864598e-05,0.0001501659518,7.785372582e-07,2.879270133e-05,6.509079153e-05,0.0001285855155, 4.52857103e-05,3.046850946e-05,7.028554257e-05,  0.02342440234
0.750000,2.000000,float,0.0003074490009,0.0003155856457,0.0003328907039,7.701184754e-06,7.935946449e-05,8.962333827e-05,0.0004200534704,0.0003441037852, 0.000308288581,0.0003944544684,  0.02419254252
0.750000,2.000000,peg,7.539868133e-05,6.430208419e-05, 0.005386826078,3.519778214e-05,0.0005688663326, 0.002001061491,0.0002740717854, 7.32017724e-05,8.445926188e-05,0.0002340763051,  0.02484827884
0.750000,2.000000,managed,4.481596448e-05,4.553431801e-05,0.0005321286254,9.480978678e-06,0.0001141047853,0.0001275118623,0.0001490077751, 7.40455915e-05,4.722911681e-05,9.289035898e-05,  0.02432995324
1.000000,0.000000,float, 1.12278598e-05,2.425870998e-05,7.232701375e-05,6.619350057e-08,2.377306882e-05,7.294331241e-05,0.0001434470698,2.798317718e-05,1.148600677e-05,5.370199218e-05,   0.0225202518
1.000000,0.000000,peg, 1.50980415e-05, 2.85851837e-05, 0.003184248323, 8.70196568e-07,9.198304899e-05,  0.00244008439,  0.00279321006,8.362429652e-05,1.346693822e-05,0.0002351394505,    0.023129256
1.000000,0.000000,managed,4.038203986e-06,8.854396015e-06,7.423102393e-05,1.064737622e-07,2.060316983e-05,9.053647359e-05,0.0001522823755,1.660644563e-05, 4.37995063e-06,5.413713821e-05,  0.02264418683
1.000000,1.000000,float,1.488380119e-05,2.602833239e-05,9.365393894e-05,1.016993513e-06,3.577081638e-05,8.661209381e-05,0.0001256155424,3.077247915e-05,1.503285722e-05,6.289132182e-05,  0.02322135769
1.000000,1.000000,peg,1.312788176e-05, 1.99131379e-05, 0.005302537715,2.618298911e-06,0.0002980859566, 0.003078803498, 0.001049879435,4.991200451e-05, 1.21495283e-05,0.0002339911537,  0.02419850063
1.000000,1.000000,managed,4.552792001e-06,9.983686666e-06,0.0001076202194,8.704824726e-07,3.444108049e-05,9.771119188e-05,0.0001121566688,1.696430157e-05,4.845174559e-06,5.720373437e-05,  0.02339776743
1.000000,2.000000,float,2.224199924e-05,3.155294609e-05,0.0001316899875,5.459668018e-06,6.146132728e-05,0.0001220311054,0.0001288379728,4.020587812e-05,2.214871427e-05,8.053308366e-05,  0.02414521517
1.000000,2.000000,peg,1.066047715e-05, 1.25339828e-05,  0.01069800292,  5.3857578e-05,0.0009200215322, 0.004535418471,0.0002119305638, 2.45876915e-05,1.081096965e-05,0.0002337614593,  0.02510284027
1.000000,2.000000,managed,6.336351798e-06,1.223642681e-05, 0.000224548976, 6.11459879e-06,8.093013706e-05,0.0001244569133,0.0001079949709,2.176758306e-05,6.439883087e-06,6.529769598e-05,   0.0242834749
1.150000,0.000000,float,4.660055052e-08,1.243995481e-05,9.982953549e-05, 9.76024172e-08,3.727341521e-05,0.0001303735179,0.0001225445131,7.944723806e-06,4.714018622e-08,2.725529007e-05,  0.02246616709
1.150000,0.000000,peg,2.225504616e-07,8.651854444e-06, 0.005222236379,1.479880842e-06,0.0001499389695, 0.004149539654, 0.002995586833,3.390460844e-05,1.996865852e-07,0.0002348191606,  0.02333983368
