rho,phi_s,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
2.000000,0.000000,  2.4319614e-05,3.138730386e-05,0.0001252999838,3.944397051e-05,9.009976888e-05,7.295778293e-05,0.0001424285563,4.702127396e-05,2.396736717e-05,7.989651802e-05,  0.01561019193
2.000000,0.050000,1.293055638e-05, 1.91970722e-05,0.0001120042922,3.840998002e-05,8.967634892e-05,7.570622424e-05,0.0001282025075,3.434560094e-05,1.268048287e-05,6.470389736e-05,  0.01570778859
2.000000,0.100000,9.897828964e-06,1.548091884e-05,0.0001244748253, 3.75883551e-05,9.023586009e-05,9.112666234e-05,0.0001226071115,3.015394307e-05,9.738875566e-06,6.186892074e-05,    0.015775916
2.000000,0.150000,8.349668784e-06,1.335086948e-05,0.0001512827842, 3.68312351e-05,9.112830627e-05,0.0001149564327,0.0001189353412,2.766501985e-05,8.263372839e-06, 6.12893315e-05,  0.01583701898
2.000000,0.200000,7.414683411e-06,1.190917649e-05,0.0001891243767,3.612694697e-05,9.246188721e-05, 0.000144728029,0.0001162382745,2.594614969e-05,7.388039358e-06,6.165515992e-05,  0.01589432709
2.000000,0.300000,6.382731737e-06,1.003057269e-05,0.0002900674875, 3.48628249e-05,9.652483109e-05,0.0002165476751,0.0001125306724,2.367146537e-05,6.448980439e-06,6.368156035e-05,  0.01600069682
2.000000,0.400000,5.879015678e-06,8.844649562e-06, 0.000415535668,3.377177454e-05,0.0001022612161,0.0002990387152,0.0001102098902,2.222020162e-05,6.014646205e-06,   6.650059e-05,  0.01609785139
2.000000,0.500000,5.627475172e-06,8.032067814e-06,0.0005575904468,3.283027661e-05, 0.000109334621,0.0003878219966,0.0001087744959,2.122045839e-05,5.816926353e-06,6.965858858e-05,  0.01618694665
2.000000,0.750000,5.485720428e-06,6.854317714e-06,0.0009518678945,3.099407364e-05,0.0001308573419, 0.000620973808,0.0001075291293,1.975771704e-05,5.767754907e-06,7.797378086e-05,  0.01637998099
2.000000,1.000000,5.621945444e-06,6.297812444e-06, 0.001364489157,2.969679887e-05,0.0001551456432,0.0008535760973,0.0001081736222,1.904287867e-05,5.961513332e-06,8.614424051e-05,  0.01653905858
2.000000,1.500000,6.102903772e-06,5.960964774e-06, 0.002158691515,2.808400013e-05,0.0002047280551, 0.001284139296,0.0001118711776,1.852708033e-05,6.506575984e-06,0.0001010056819,  0.01678539759
2.000000,2.000000,   6.602369e-06,6.042260117e-06, 0.002866101484,2.720956023e-05,0.0002508422232, 0.001656304257,0.0001166160847,1.849376941e-05,7.037753963e-06,0.0001137106046,  0.01696726693
